id_scal;scenario_key;name;var_name;carrier;region;tech;type;var_value;var_unit;source;comment
34;2045_scenario;;marginal_cost;biomass_gas;ALL;commodity;shortage;69.0;EUR/MWh;https://www.kea-bw.de/waermewende/wissensportal/kommunale-waermeplanung/einfuehrung-in-den-technikkatalog#c7393-content-2 1.2 Preisentwicklungen_2020_30_40_v1.1.3.xlsx;2045
35;2045_scenario;r120640428428-biomass_solid-boiler_heat_high;capacity;biomass_solid;r120640428428;boiler_heat_high;conversion;0.0;MW;;Zero
36;2045_scenario;r120640472472-biomass_solid-boiler_heat_high;capacity;biomass_solid;r120640472472;boiler_heat_high;conversion;0.0;MW;;Zero
37;2045_scenario;r120670124124-biomass_solid-boiler_heat_high;capacity;biomass_solid;r120670124124;boiler_heat_high;conversion;0.0;MW;;Zero
38;2045_scenario;r120670201201-biomass_solid-boiler_heat_high;capacity;biomass_solid;r120670201201;boiler_heat_high;conversion;0.0;MW;;Zero
39;2045_scenario;;capacity_cost;biomass_solid;ALL;boiler_heat_high;conversion;22166.494570326577;;;
40;2045_scenario;r120640428428-biomass_solid-boiler_heat_high;capacity_potential;biomass_solid;r120640428428;boiler_heat_high;conversion;;MW;;Empty
41;2045_scenario;r120640472472-biomass_solid-boiler_heat_high;capacity_potential;biomass_solid;r120640472472;boiler_heat_high;conversion;;MW;;Empty
42;2045_scenario;r120670124124-biomass_solid-boiler_heat_high;capacity_potential;biomass_solid;r120670124124;boiler_heat_high;conversion;;MW;;Empty
43;2045_scenario;r120670201201-biomass_solid-boiler_heat_high;capacity_potential;biomass_solid;r120670201201;boiler_heat_high;conversion;;MW;;Empty
44;2045_scenario;;carrier_cost;biomass_solid;ALL;boiler_heat_high;conversion;0.0;Eur/MWh;From original raw_cost_eff:;Zero
45;2045_scenario;;efficiency;biomass_solid;ALL;boiler_heat_high;conversion;0.85;;https://energiesysteme-zukunft.de/fileadmin/user_upload/Publikationen/PDFs/ESYS_Analyse_IntEv.pdf;Table 19 S.206
46;2045_scenario;;expandable;biomass_solid;ALL;boiler_heat_high;conversion;true;;;
47;2045_scenario;;marginal_cost;biomass_solid;ALL;boiler_heat_high;conversion;1.0582;EUR/MWh;"From original raw_cost_eff: technology_data_for_el_and_dh.xlsx; 44 Natural Gas DH Only";"1*1;0582 Dummy value"
48;2045_scenario;r120640428428-biomass_solid-bpchp_heat_high;capacity;biomass_solid;r120640428428;bpchp_heat_high;backpressure;0.0;MW;;Zero
49;2045_scenario;r120640472472-biomass_solid-bpchp_heat_high;capacity;biomass_solid;r120640472472;bpchp_heat_high;backpressure;0.0;MW;;Zero
50;2045_scenario;r120670124124-biomass_solid-bpchp_heat_high;capacity;biomass_solid;r120670124124;bpchp_heat_high;backpressure;0.0;MW;;Zero
51;2045_scenario;r120670201201-biomass_solid-bpchp_heat_high;capacity;biomass_solid;r120670201201;bpchp_heat_high;backpressure;0.0;MW;;Zero
52;2045_scenario;;capacity_cost;biomass_solid;ALL;bpchp_heat_high;backpressure;42005.981393227295;;;
53;2045_scenario;;carrier_cost;biomass_solid;ALL;bpchp_heat_high;backpressure;0.0;Eur/MWh;From original raw_cost_eff:;Zero
54;2045_scenario;;electric_efficiency;biomass_solid;ALL;bpchp_heat_high;backpressure;0.27;;"PyPSA: Danish Energy Agency; technology_data_for_el_and_dh.xlsx";
55;2045_scenario;;expandable;biomass_solid;ALL;bpchp_heat_high;backpressure;true;;;
56;2045_scenario;;marginal_cost;biomass_solid;ALL;bpchp_heat_high;backpressure;4.9173;EUR/MWh_e;"PyPSA: Danish Energy Agency; technology_data_for_el_and_dh.xlsx";"S.42 Table 12:BHKW (Erdgas;Biomasse)"
57;2045_scenario;;thermal_efficiency;biomass_solid;ALL;bpchp_heat_high;backpressure;0.41;;https://langfristszenarien.de/enertile-explorer-wAssets/docs/LFS3_T45-Bericht_Szenarien_Industrie_final.pdf;"S.42 Table 12:BHKW (Erdgas;Biomasse)"
