,techs_none_r120670201201
0,Biogas-KWK (hoch)
1,"Biogas-KWK (niedrig, zentral)"
2,"Biomasse-KWK (fest, hoch)"
3,"Biomasse-KWK (fest, niedrig, zentral)"
4,Elektrolyseur
5,Batteriespeicher (groß) (Strom)
6,PV (Agrarflächen) (hor.)
7,PV (Dachflächen)
8,Wasserstoffkessel (hohe Wärme)
9,Wasserstoff-KWK (hoch)
10,Solarkollektor (dezentral)
11,Restmüll-KWK (hoch)
12,"Restmüll-KWK (niedrig, zentral)"
